rmse,mae,r2,val_loss,"param_
    'filters_conv1': [16, 32, 48, 64, 80, 96, 112, 128],
    'kernel_size_conv1': [2, 3, 4, 5, 6, 8],
    'activation_conv1': ['sigmoid', 'tanh', 'relu'],
    'filters_conv2': [16, 32, 48, 64, 80, 96, 128, 256, 384, 512],
    'kernel_size_conv2': [2, 3, 4, 5, 6, 8, 10],
    'activation_conv2': ['sigmoid', 'tanh', 'relu'],
    'dense_neurons': [20, 40, 60, 80, 100, 200, 300, 400, 500],
    'learning_rate': [0.001],
    'batch_size': [32],
    'epochs': [3, 4, 5, 6, 9, 15]
filters_conv1",param_activation_conv1,param_activation_conv2,param_batch_size,param_dense_neurons,param_epochs,param_filters_conv2,param_kernel_size_conv1,param_kernel_size_conv2,param_learning_rate
18.155745719414497,13.41783169478178,0.8091163903585784,308.49053955078125,16,sigmoid,sigmoid,32,20,4,512,6,5,0.001
18.509580678654398,14.120375862121582,0.801603678181829,303.2680969238281,16,sigmoid,sigmoid,32,20,4,512,6,10,0.001
15.831458379333833,12.694734065532684,0.8548616094599271,244.70660400390625,16,sigmoid,sigmoid,32,50,4,16,2,2,0.001
18.123030552543103,13.33261202096939,0.8098036838401632,327.1940002441406,16,sigmoid,sigmoid,32,50,4,16,2,5,0.001
17.62263981839419,13.458610501289368,0.8201616183591092,270.653564453125,16,sigmoid,sigmoid,32,50,4,16,2,10,0.001
16.453538939095477,12.586878116130828,0.8432313918663394,267.04241943359375,16,sigmoid,sigmoid,32,50,4,16,3,2,0.001
17.814151690287343,13.726752634048461,0.8162316364567611,302.492919921875,16,sigmoid,sigmoid,32,50,4,16,3,5,0.001
17.078308336534953,13.574474177360536,0.8310998029974241,268.3299560546875,16,sigmoid,sigmoid,32,50,4,16,3,10,0.001
17.532884493459797,13.598948722481728,0.8219888527419772,292.9891662597656,16,sigmoid,sigmoid,32,50,4,16,6,2,0.001
16.938493230490213,12.933392248153687,0.8338539557825543,263.5346984863281,16,sigmoid,sigmoid,32,50,4,16,6,5,0.001
16.3923775616417,12.266557421684265,0.8443947116079787,249.71182250976562,16,sigmoid,sigmoid,32,50,4,16,6,10,0.001
15.872771966275742,12.452720175385474,0.854103118212638,251.9449005126953,16,sigmoid,sigmoid,32,50,4,32,2,2,0.001
17.541271677487018,13.54166867017746,0.8218185020667408,290.67047119140625,16,sigmoid,sigmoid,32,50,4,32,2,5,0.001
16.775743558770394,13.23408757686615,0.83703137055072,234.43763732910156,16,sigmoid,sigmoid,32,50,4,32,2,10,0.001
17.06818266591015,12.977068393230438,0.8313000243232751,277.8256530761719,16,sigmoid,sigmoid,32,50,4,32,3,2,0.001
16.629671379652727,12.679282900094986,0.8398570626321518,267.6500244140625,16,sigmoid,sigmoid,32,50,4,32,3,5,0.001
16.80899214991252,12.870521936416626,0.8363847408653087,250.0269317626953,16,sigmoid,sigmoid,32,50,4,32,3,10,0.001
17.239378665444875,13.247798498868942,0.8278988889661408,281.1187744140625,16,sigmoid,sigmoid,32,50,4,32,6,2,0.001
17.583111755318193,13.4228293800354,0.8209674783782117,273.0409851074219,16,sigmoid,sigmoid,32,50,4,32,6,5,0.001
16.053819830606045,12.324890370368957,0.8507558815364171,243.31231689453125,16,sigmoid,sigmoid,32,50,4,32,6,10,0.001
16.50310212401565,12.490235188007354,0.8422854975756768,255.1533660888672,16,sigmoid,sigmoid,32,50,4,128,2,2,0.001
17.550666483870756,12.976461699008942,0.821627589003788,259.3498840332031,16,sigmoid,sigmoid,32,50,4,128,2,5,0.001
18.606950453903412,13.88857216000557,0.7995108575690855,267.4101867675781,16,sigmoid,sigmoid,32,50,4,128,2,10,0.001
17.419024241827596,12.857146003060043,0.8242933887206205,267.0708312988281,16,sigmoid,sigmoid,32,50,4,128,3,2,0.001
